Region,Layer,latitude,longitude,name,Jan-20,Jan-21,Jan-22,Jan-23,Jan-24,Jan-25,Jan-26,Jan-27,Jan-28,Jan-29,Jan-30,Jan-31,Feb-1,Feb-2,Feb-3,Feb-4,Feb-5,Feb-6,Feb-7,Feb-8,Feb-9,Feb-10,Feb-11,Feb-12,Feb-13,Feb-14,Feb-15,Feb-16,Feb-17,Feb-18,Feb-19,Feb-20
Hubei,China,31,112,Hubei,258,270,444,444,729,729,"1,052","2,714","2,714","4,586","4,586","7,153",7153,9074,11177,13522,16678,19665,22112,24953,27100,29631,31728,33366,34874,36602,37884,38839,0,0,0,0
Guangdong,China,23.135769,113.198269,Guangdong,14,17,26,32,53,78,111,188,207,272,354,520,520,604,683,797,870,944,1018,1075,1120,1151,1177,1219,1241,1261,1294,1316,0,0,0,0
Henan,China,34,114,Henan,0,1,5,5,9,32,83,168,168,206,278,422,422,493,566,675,764,851,914,981,1033,1073,1105,1135,1169,1184,1212,1231,0,0,0,0
Zhejiang,China,29,120,Zhejiang,0,5,10,27,43,62,104,173,173,296,428,599,599,661,724,829,895,954,1006,1048,1070,1104,1117,1131,1145,1155,1162,1167,0,0,0,0
Hunan,China,27.999588,112.009538,Hunan,0,1,4,9,24,43,69,100,143,221,277,389,389,463,521,593,661,711,772,803,838,879,912,946,968,988,1001,1004,0,0,0,0
Anhui,China,32,117,Anhui,0,0,1,9,15,39,60,106,106,152,200,297,297,340,408,480,530,591,665,733,779,830,860,889,910,934,950,962,0,0,0,0
Jiangxi,China,28,116,Jiangxi,0,2,2,3,18,18,48,72,72,162,162,286,286,333,391,476,548,600,661,698,740,771,804,844,872,900,913,925,0,0,0,0
Jiangsu,China,33,120,Jiangsu,0,0,0,5,9,18,33,70,70,99,129,202,202,231,271,308,341,373,408,439,468,492,515,543,570,593,604,617,0,0,0,0
Chongqing,China,29.558571,106.549282,Chongqing,0,1,6,9,27,57,75,132,132,165,182,238,238,262,300,337,366,389,411,426,446,468,486,505,518,529,537,544,0,0,0,0
Shandong,China,36,119,Shandong,0,1,2,6,15,27,46,87,95,130,158,202,202,225,246,270,298,343,379,407,435,459,486,497,506,519,530,537,0,0,0,0
Sichuan,China,30.5,102.5,Sichuan,0,1,5,8,15,28,44,90,90,108,142,208,207,236,254,282,301,321,344,363,386,405,417,436,451,463,470,481,0,0,0,0
Heilongjiang,China,48.000005,127.999992,Heilongjiang,0,0,0,2,4,9,16,30,30,37,43,80,80,95,118,155,190,227,277,282,326,331,360,378,395,418,425,445,0,0,0,0
Beijing,China,39.905963,116.391248,Beijing,5,5,10,22,36,36,68,80,91,111,114,139,156,183,212,228,253,274,297,315,307,337,342,352,366,372,375,380,0,0,0,0
Shanghai,China,31.225344,121.488892,Shanghai,1,2,9,16,20,33,40,66,66,96,112,153,153,177,193,208,233,254,269,281,292,295,302,306,313,318,326,328,0,0,0,0
Fujian,China,26.545,117.842778,Fujian,0,0,1,5,10,18,35,59,80,84,101,144,144,159,179,194,205,215,224,239,250,261,267,272,279,281,285,287,0,0,0,0
Guangxi,China,24,109,Guangxi,0,0,2,5,23,23,36,51,51,58,78,100,100,111,127,139,150,168,172,183,195,210,215,222,222,226,235,237,0,0,0,0
Shaanxi,China,36,109,Shaanxi,0,0,0,3,5,15,22,35,46,56,63,101,101,116,128,142,165,173,184,195,208,213,219,225,229,230,232,236,0,0,0,0
Hebei,China,39,116,Hebei,0,0,1,1,2,8,13,33,33,48,65,96,96,104,113,126,135,157,171,195,206,218,239,251,265,283,219,300,0,0,0,0
Yunnan,China,25,102,Yunnan,0,1,1,1,5,5,16,26,44,55,70,83,91,99,109,117,122,128,135,138,140,141,149,154,155,162,168,169,0,0,0,0
Hainan,China,19.2,109.6,Hainan,0,0,4,5,8,17,22,33,40,43,46,57,57,63,70,79,89,100,111,123,128,136,142,145,157,157,162,162,0,0,0,0
