Region,Layer,latitude,longitude,name,Jan-20,Jan-21,Jan-22,Jan-23,Jan-24,Jan-25,Jan-26,Jan-27,Jan-28,Jan-29,Jan-30,Jan-31,Feb-1,Feb-2,Feb-3,Feb-4,Feb-5,Feb-6,Feb-7,Feb-8,Feb-9,Feb-10,Feb-11,Feb-12,Feb-13,Feb-14,Feb-15,Feb-16,Feb-17,Feb-18,Feb-19,Feb-20
Hubei,China,31,112,Hubei,258,270,444,444,729,729,"1,052","2,714","2,714","4,586","4,586","7,153",7153,9074,11177,13522,16678,19665,22112,24953,27100,29631,31728,33366,34874,36602,37884,38839,0,0,0,0
Singapore,World,1.290475,103.852036,Singapore,0,0,0,0,0,3,4,4,7,7,10,13,16,18,18,18,24,28,30,33,40,43,45,47,50,58,67,0,0,0,0,0
Japan,World,36.574844,139.239418,Japan,1,1,1,1,1,3,3,4,6,7,11,14,17,20,20,20,33,25,25,25,26,26,28,28,29,33,41,0,0,0,0,0
Republic of Korea,World,36.558191,127.940856,Republic of Korea,1,1,1,1,2,2,2,4,4,4,4,11,12,15,15,16,18,23,24,24,27,27,26,28,28,28,28,0,0,0,0,0
Malaysia,World,2.392376,112.847194,Malaysia,0,0,0,0,0,0,3,4,4,4,7,8,8,8,8,10,10,12,14,15,17,18,18,18,18,19,21,0,0,0,0,0
Viet Nam,World,13.290403,108.426511,Viet Nam,0,0,0,0,0,0,0,0,0,0,2,5,6,7,8,9,10,10,12,13,14,14,15,15,16,16,16,0,0,0,0,0
Australia,World,-24.776109,134.755,Australia,0,0,0,0,0,3,4,4,5,7,7,9,12,12,12,12,13,14,15,15,15,15,15,15,15,15,15,0,0,0,0,0
Philippines,World,12.750349,122.73121,Philippines,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,2,3,3,3,3,3,3,3,3,3,3,3,0,0,0,0,0
Cambodia,World,13.506639,104.869423,Cambodia,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0
Thailand,World,14.897192,100.83273,Thailand,2,2,2,4,4,4,5,5,14,14,14,14,19,19,19,19,25,25,25,32,32,32,33,33,33,33,34,0,0,0,0,0
India,World,22.351115,78.667743,India,0,0,0,0,0,0,0,0,0,0,1,1,1,2,3,3,3,3,3,3,3,3,3,3,3,3,3,0,0,0,0,0
Nepal,World,28.108393,84.091714,Nepal,0,0,0,0,0,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0
Sri Lanka,World,7.878,80.703825,Sri Lanka,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0
US,World,39.78373,-100.445882,US,0,0,0,1,1,2,2,5,5,5,5,6,7,8,11,11,11,12,12,12,12,12,13,13,14,15,15,0,0,0,0,0
Canada,World,61.066692,-107.991707,Canada,0,0,0,0,0,0,0,1,2,3,3,3,4,4,4,4,5,5,7,7,7,7,7,7,7,7,7,0,0,0,0,0
Germany,World,51.08342,10.423447,Germany,0,0,0,0,0,0,0,0,1,4,4,5,7,8,10,12,12,12,13,14,14,14,14,16,16,16,16,0,0,0,0,0
France,World,46.603354,1.888334,France,0,0,0,0,0,0,3,3,3,4,5,6,6,6,6,6,6,6,6,6,11,11,11,11,11,11,11,0,0,0,0,0
UK,World,54.702355,-3.276575,UK,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,3,3,4,8,8,9,9,9,0,0,0,0,0
Italy,World,42.638426,12.674297,Italy,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,0,0,0,0,0
Russia,World,64.686314,97.745306,Russia,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0
Spain,World,40.002803,-4.003104,Spain,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,0,0,0,0,0
Belgium,World,50.640735,4.66696,Belgium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0
Finland,World,63.246778,25.920916,Finland,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0
Sweden,World,59.674971,14.520858,Sweden,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0
UAE,World,49.487197,31.271832,UAE,0,0,0,0,0,0,0,0,0,4,4,4,4,5,5,5,5,5,5,7,7,7,8,8,8,8,8,0,0,0,0,0
Egypt,World,26.254049,29.267547,Egypt,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0
Intl,World,40.268917,72.662947,Intl,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,61,64,64,70,135,175,174,218,218,0,0,0,0,0
